Brand;Product Type;Who;Price;MRP;Savings;Discount %;Rating;Total Ratings Given
NIKE;shoes;men;2216;3693.33;1477;40.0;4.2;54006
Layasa;shoes;men;379;997.37;618;62.0;4.0;13792
YONEX;shoes;men;1919;2998.44;1079;36.0;4.3;1298
ADIDAS;shoes;men;1499;2498.33;999;40.0;4.2;3904
PUMA;shoes;men;2050;3474.58;1424;41.0;4.2;194
ADIDAS;shoes;men;2279;3798.33;1519;40.0;4.2;319
FILA;shoes;men;1047;2492.86;1445;58.0;4.1;886
SPARX;shoes;men;1328;1681.01;353;21.0;4.3;2000
Xylus;shoes;men;359;997.22;638;64.0;3.8;4854
Skechers;shoes;men;2493;4298.28;1805;42.0;4.4;879
PUMA;shoes;men;1571;2964.15;1393;47.0;4.1;1216
CAMPUS;shoes;men;911;1283.1;372;29.0;4.1;1066
ADIDAS;shoes;men;1637;2683.61;1046;39.0;4.2;904
BEEROCK;shoes;men;474;987.5;513;52.0;4.0;148763
CAMPUS;shoes;men;999;1040.62;41;4.0;4.2;80643
CAMPUS;shoes;men;1259;1678.67;419;25.0;4.1;5121
Density;shoes;men;449;997.78;548;55.0;4.1;114548
PROVOGUE;shoes;men;899;1798.0;899;50.0;4.2;2508
CAMPUS;shoes;men;911;1283.1;372;29.0;4.1;1067
REEBOK;shoes;men;1932;3577.78;1645;46.0;4.2;1359
NIKE;shoes;men;2216;3693.33;1477;40.0;4.2;54010
NIKE;shoes;men;5057;7901.56;2844;36.0;4.1;735
BIRDE;shoes;men;498;1464.71;966;66.0;3.9;445
PUMA;shoes;men;2238;5458.54;3220;59.0;4.2;213
Skechers;shoes;men;2499;4998.0;2499;50.0;4.4;1593
ADIDAS;shoes;men;1585;3234.69;1649;51.0;4.1;3735
ADIDAS;shoes;men;1875;4934.21;3059;62.0;4.2;1104
asics;shoes;men;4399;7998.18;3599;45.0;4.7;6
PUMA;shoes;men;2104;4893.02;2789;57.0;4.2;662
aadi;shoes;men;474;1975.0;1501;76.0;4.0;50790
ADIDAS;shoes;men;1579;3289.58;1710;52.0;4.1;3735
CAMPUS;shoes;men;1169;1498.72;329;22.0;4.2;5616
REEBOK;shoes;men;2199;3998.18;1799;45.0;4.2;611
ADIDAS;shoes;men;2100;5526.32;3426;62.0;4.1;190
PERFECTX;shoes;men;479;798.33;319;40.0;3.8;239
CAMPUS;shoes;men;854;898.95;44;5.0;4.2;244
ADIDAS;shoes;men;1875;4934.21;3059;62.0;4.2;1103
ADIDAS;shoes;men;1958;3995.92;2037;51.0;4.1;1870
PUMA;shoes;men;1376;3931.43;2555;65.0;4.2;14293
PUMA;shoes;men;3269;5735.09;2466;43.0;4.3;125
DUCATI;shoes;men;1329;3797.14;2468;65.0;4.2;228
NIKE;shoes;men;6495;6495.0;0;0.0;4.5;1126
REEBOK;shoes;men;1679;2798.33;1119;40.0;4.5;22
ADIDAS;shoes;men;1799;2998.33;1199;40.0;4.2;1816
DUCATI;shoes;men;1329;3797.14;2468;65.0;3.9;497
NIKE;shoes;men;4717;8900.0;4183;47.0;4.0;93
Chevit;shoes;men;664;2553.85;1889;74.0;3.9;17
REEBOK;shoes;men;1760;2983.05;1223;41.0;4.0;1131
ADIDAS;shoes;men;1455;2969.39;1514;51.0;4.2;7651
ADIDAS;shoes;men;2800;5957.45;3157;53.0;3.9;424
ADIDAS;shoes;men;1784;3964.44;2180;55.0;4.1;3762
asics;shoes;men;2298;4419.23;2121;48.0;4.2;5239
REEBOK;shoes;men;1766;3098.25;1332;43.0;4.3;311
WOODLAND;shoes;men;3395;3994.12;599;15.0;4.7;11
CAMPUS;shoes;men;1614;1698.95;84;5.0;4.1;218
CAMPUS;shoes;men;2279;2398.95;119;5.0;4.0;38
YONEX;shoes;men;1881;3243.1;1362;42.0;4.3;251
aadi;shoes;men;402;1914.29;1512;79.0;3.9;527
asics;shoes;men;2374;3956.67;1582;40.0;4.1;36
ASIAN;shoes;men;849;1286.36;437;34.0;4.1;34266
NIKE;shoes;men;2586;3694.29;1108;30.0;4.2;130
CAMPUS;shoes;men;1043;1198.85;155;13.0;4.1;2242
PUMA;shoes;men;2401;5456.82;3055;56.0;4.2;11
CAMPUS;shoes;men;895;1297.1;402;31.0;4.1;7024
PUMA;shoes;men;3380;7860.47;4480;57.0;4.2;183
JACK;shoes;men;1124;2957.89;1833;62.0;4.2;1632
CAMPUS;shoes;men;809;898.89;89;10.0;4.3;799
CAMPUS;shoes;men;1274;1498.82;224;15.0;4.1;1786
SEGA;shoes;men;614;944.62;330;35.0;4.0;9503
ADIDAS;shoes;men;2399;3998.33;1599;40.0;4.1;78
MILESWALKER;shoes;men;279;996.43;717;72.0;3.7;56100
ADIDAS;shoes;men;1875;3750.0;1875;50.0;4.2;8902
Skechers;shoes;men;2149;4997.67;2848;57.0;4.4;1289
PUMA;shoes;men;2141;4979.07;2838;57.0;4.2;715
CAMPUS;shoes;men;805;1045.45;240;23.0;4.1;2707
Abisto;shoes;men;265;490.74;225;46.0;3.6;1102
JACK;shoes;men;1393;3482.5;2089;60.0;4.0;751
PUMA;shoes;men;1697;3946.51;2249;57.0;4.0;1584
